year,size,people
1973,1525,3.01
1974,1560,2.97
1975,1535,2.94
1976,1590,2.89
1977,1610,2.86
1978,1655,2.81
1979,1645,2.78
1980,1595,2.76
1981,1550,2.73
1982,1520,2.72
1983,1565,2.73
1984,1605,2.71
1985,1605,2.69
1986,1660,2.67
1987,1755,2.66
1988,1810,2.64
1989,1850,2.62
1990,1905,2.63
1991,1890,2.63
1992,1920,2.62
1993,1945,2.63
1994,1940,2.67
1995,1920,2.65
1996,1950,2.65
1997,1975,2.64
1998,2000,2.62
1999,2028,2.61
2000,2057,2.62
2001,2103,2.58
2002,2114,2.58
2003,2137,2.57
2004,2140,2.57
2005,2227,2.57
2006,2248,2.57
2007,2277,2.56
2008,2215,2.56
2009,2135,2.57
2010,2169,2.59
2011,2233,2.58
2012,2306,2.55
2013,2384,2.54
2014,2453,2.54
